FIPS,MSANameFull,GDP,GDPPerCapita,Population,MSACity,MSAState,City,State
37620,"Parkersburg-Marietta-Vienna, WV-OH",4778,29446,162263,Parkersburg-Marietta-Vienna,WV-OH,Parkersburg,WV
39380,"Pueblo, CO",3645,22702,160559,Pueblo,CO,Pueblo,CO
39460,"Punta Gorda, FL",2863,17839,160491,Punta Gorda,FL,Punta Gorda,FL
13460,"Bend, OR",5360,33431,160330,Bend,OR,Bend,OR
13740,"Billings, MT",6424,40124,160104,Billings,MT,Billings,MT
27500,"Janesville, WI",4347,27152,160099,Janesville,WI,Janesville,WI
27100,"Jackson, MI",4225,26446,159760,Jackson,MI,Jackson,MI
10500,"Albany, GA",4168,26429,157706,Albany,GA,Albany,GA
47220,"Vineland-Millville-Bridgeton, NJ",4373,27839,157082,Vineland-Millville-Bridgeton,NJ,Vineland,NJ
35660,"Niles-Benton Harbor, MI",4737,30185,156932,Niles-Benton Harbor,MI,Niles,MI
26980,"Iowa City, IA",6831,44104,154884,Iowa City,IA,Iowa City,IA
44300,"State College, PA",5486,35455,154731,State College,PA,State College,PA
10780,"Alexandria, LA",4647,30079,154493,Alexandria,LA,Alexandria,LA
19460,"Decatur, AL",4118,26730,154059,Decatur,AL,Decatur,AL
12620,"Bangor, ME",4697,30545,153773,Bangor,ME,Bangor,ME
25260,"Hanford-Corcoran, CA",3602,23425,153767,Hanford-Corcoran,CA,Hanford,CA
15500,"Burlington, NC",4127,26925,153278,Burlington,NC,Burlington,NC
31460,"Madera-Chowchilla, CA",3251,21258,152931,Madera-Chowchilla,CA,Madera,CA
40580,"Rocky Mount, NC",5122,33663,152155,Rocky Mount,NC,Rocky Mount,NC
33780,"Monroe, MI",3207,21159,151567,Monroe,MI,Monroe,MI
27620,"Jefferson City, MO",5035,33460,150478,Jefferson City,MO,Jefferson City,MO
48660,"Wichita Falls, TX",5118,34061,150260,Wichita Falls,TX,Wichita Falls,TX
22520,"Florence-Muscle Shoals, AL",3538,24021,147288,Florence-Muscle Shoals,AL,Florence,AL
48540,"Wheeling, WV-OH",4709,31992,147193,Wheeling,WV-OH,Wheeling,WV
24300,"Grand Junction, CO",4396,29887,147087,Grand Junction,CO,Grand Junction,CO
20020,"Dothan, AL",3889,26534,146567,Dothan,AL,Dothan,AL
42140,"Santa Fe, NM",5505,37797,145646,Santa Fe,NM,Santa Fe,NM
25620,"Hattiesburg, MS",4331,29778,145443,Hattiesburg,MS,Hattiesburg,MS
43580,"Sioux City, IA-NE-SD",5334,37024,144069,Sioux City,IA-NE-SD,Sioux City,IA
47580,"Warner Robins, GA",4835,33596,143916,Warner Robins,GA,Warner Robins,GA
27780,"Johnstown, PA",3471,24149,143733,Johnstown,PA,Johnstown,PA
12220,"Auburn-Opelika, AL",3380,23562,143451,Auburn-Opelika,AL,Auburn,AL
19140,"Dalton, GA",4600,32225,142746,Dalton,GA,Dalton,GA
46660,"Valdosta, GA",3773,26515,142297,Valdosta,GA,Valdosta,GA
41100,"St. George, UT",3133,22116,141662,St. George,UT,St. George,UT
17660,"Coeur d'Alene, ID",3809,26989,141132,Coeur d'Alene,ID,Coeur d'Alene,ID
33260,"Midland, TX",13404,95531,140310,Midland,TX,Midland,TX
36220,"Odessa, TX",6078,43381,140107,Odessa,TX,Odessa,TX
42680,"Sebastian-Vero Beach, FL",3541,25492,138906,Sebastian-Vero Beach,FL,Sebastian,FL
34900,"Napa, CA",5868,42492,138097,Napa,CA,Napa,CA
44220,"Springfield, OH",3086,22415,137676,Springfield,OH,Springfield,OH
34100,"Morristown, TN",3090,22473,137498,Morristown,TN,Morristown,TN
45500,"Texarkana, TX-AR",4016,29407,136566,Texarkana,TX-AR,Texarkana,TX
