"FIPS","MSANameFull","Population","City","State","geoLat","geoLng","Highway","x","y","nearFIPS0","nearDist0","nearFIPS1","nearDist1","nearFIPS2","nearDist2","nearFIPS3","nearDist3","nearFIPS4","nearDist4","nearDrive0","nearDrive1","nearDrive2","nearDrive3","nearDrive4"
"36420","Oklahoma City, OK","1278041","Oklahoma City","OK","35.4675602","-97.5164276","35,44,40","0.43","0.41","19100","330245","26420","715016","41180","821453","88882","1296402","19740","1374754","11094","23151","25995","41540","33955"
"29700","Laredo, TX","256510","Laredo","TX","27.506407","-99.5075421","35,2","0.4","0.62","88882","226897","26420","569241","19100","739260","88885","1093764","88886","1329369","8902","17861","22984","38074","39288"
"88884","San Luis Potosi, Mexico","2638693","San Luis Potosi","Mexico","22.6033","-100.4297","35,1025,57","0.36","0.7","88885","420203","88882","446664","88886","655808","26420","1242802","19100","1412821","13105","18314","15283","42701","47856"
"88886","Mexico City, Mexico","8851080","Mexico City","Mexico","19","-102.3667","35,1015","0.36","0.78","88885","358752","88884","655808","88882","1102472","88883","1292369","29700","1329369","19309","14915","31731","36257","38534"
"43620","Sioux Falls, SD","232431","Sioux Falls","SD","43.5499749","-96.700327","29,90","0.46","0.23","33460","514276","28140","612047","16980","994383","41180","1013865","19740","1303456","13769","18756","30542","31609","35829"
"36540","Omaha-Council Bluffs, NE-IA","877116","Omaha","NE","41.2523634","-95.9979883","29,80","0.46","0.28","41180","714275","16980","783142","33460","813866","19100","1237982","19820","1274077","22940","25020","20067","35273","38664"
"10900","Allentown-Bethlehem-Easton, PA-NJ","824930","Allentown","PA","40.6084305","-75.4901833","222,78","0.82","0.28","35620","140867","37980","184801","47900","314320","99995","974810","16980","1332226","5744","4045","11346","24857","38930"
"29540","Lancaster, PA","523609","Lancaster","PA","40.0378755","-76.3055144","222,30","0.82","0.3","37980","130226","47900","190775","35620","264412","99995","928759","16980","1286175","5019","8054","9584","26194","37309"
"22500","Florence, SC","206172","Florence","SC","34.1954331","-79.7625625","20,95","0.78","0.46","12060","489180","47900","669491","37980","897356","35620","1057254","33100","1124456","15223","21258","29241","33897","33287"
"17900","Columbia, SC","777122","Columbia","SC","34.0007104","-81.0348144","20,77","0.77","0.46","12060","355856","47900","802815","37980","1030680","35620","1190578","33100","1257780","11288","25247","33230","37886","32525"
"12060","Atlanta-Sandy Springs-Marietta, GA","5359216","Atlanta","GA","33.7489954","-84.3879824","20,75,85,1078","0.67","0.49","47900","1158671","16980","1251267","19100","1320957","26420","1363900","37980","1386536","33950","37766","40138","40354","41934"
"13820","Birmingham-Hoover, AL","1132242","Birmingham","AL","33.5206608","-86.80249","20,65","0.63","0.49","19100","1071290","16980","1183919","26420","1255595","47900","1408338","33100","1435007","32519","34570","34118","38935","40872"
"22380","Flagstaff, AZ","134508","Flagstaff","AZ","35.2013516","-111.639249","17,40","0.16","0.41","38060","236391","40140","753319","31100","820939","41740","1015568","19740","1257144","7965","22454","24343","25355","38248"
"38060","Phoenix-Mesa-Glendale, AZ","4263194","Phoenix","AZ","33.4483771","-112.0740373","17,10","0.16","0.44","40140","519162","31100","611318","41740","805947","40900","1299906","41860","1315324","16301","19121","18367","38517","38629"
"35600","Helena-Butte, MT","109802","Helena","MT","46.598624","-112.0271","15,90","0.19","0.17","99993","653723","99992","950167","42660","966500","99991","1195572","38900","1252665","22481","31939","31023","39034","35307"
"39340","Provo-Orem, UT","540827","Provo","UT","40.2338438","-111.6585337","15,70","0.19","0.31","40140","983344","19740","986061","31100","1050964","41740","1245593","41860","1269065","30613","26451","32501","35618","40449"
"40140","Riverside-San Bernardino-Ontario, CA","4305086","Riverside","CA","33.9533487","-117.3961564","15,10","0.07","0.44","41740","286785","29820","360640","38060","519162","40900","780744","41860","796162","5624","11860","16348","22898","23010"
