"c1fips","c1geoLat","c1geoLng","c2fips","c2geoLat","c2geoLng","Highway","drivetime","dist"
"33100","25.7889689","-80.2264393","34940","26.1420358","-81.7948103","75","6946","202014"
"34940","26.1420358","-81.7948103","15980","26.5628537","-81.9495331","75","3165","56320"
"15980","26.5628537","-81.9495331","39460","26.9297836","-82.0453664","75","2551","48881"
"39460","26.9297836","-82.0453664","35840","27.044224","-82.2359254","75","1378","23687"
"35840","27.044224","-82.2359254","45300","27.950575","-82.4571776","75","4696","135698"
"45300","27.950575","-82.4571776","36100","29.1871986","-82.1400923","75","5348","156607"
"36100","29.1871986","-82.1400923","23540","29.6516344","-82.3248262","75","2476","60921"
"23540","29.6516344","-82.3248262","37775","30.1833","-82.6333","75","3038","73659"
"37775","30.1833","-82.6333","46660","30.8327022","-83.2784851","75","3792","101093"
"46660","30.8327022","-83.2784851","47580","32.6086111","-83.6380556","75","7693","225047"
"47580","32.6086111","-83.6380556","31420","32.8406946","-83.6324022","75","1926","29503"
"31420","32.8406946","-83.6324022","12060","33.7489954","-84.3879824","75","4730","134779"
"12060","33.7489954","-84.3879824","19140","34.7698021","-84.9702228","75","4934","143841"
"19140","34.7698021","-84.9702228","16860","35.0456297","-85.3096801","75","2056","53637"
"16860","35.0456297","-85.3096801","17420","35.1595182","-84.8766115","75","2290","53197"
"17420","35.1595182","-84.8766115","28940","35.9606384","-83.9207392","75","4657","133882"
"28940","35.9606384","-83.9207392","30460","38.0405837","-84.5037164","75","9507","274211"
"30460","38.0405837","-84.5037164","17140","39.1031182","-84.5120196","75","5158","135485"
"17140","39.1031182","-84.5120196","19380","39.7589478","-84.1916069","75","3458","87561"
"19380","39.7589478","-84.1916069","30620","40.742551","-84.1052256","75","4454","116685"
"30620","40.742551","-84.1052256","45780","41.6639383","-83.555212","75","4580","127128"
"45780","41.6639383","-83.555212","19820","42.331427","-83.0457538","75","3513","97368"
"19820","42.331427","-83.0457538","22420","43.0125274","-83.6874562","75","3913","109948"
"22420","43.0125274","-83.6874562","40980","43.4194699","-83.9508068","75","2445","60732"
"40980","43.4194699","-83.9508068","13020","43.5944677","-83.8888647","75","1333","26300"
"44100","39.7817213","-89.6501481","19500","39.8403147","-88.9548001","72","2740","71609"
"19500","39.8403147","-88.9548001","16580","40.1164204","-88.2433829","72","3281","78341"
"16580","40.1164204","-88.2433829","19180","40.124481","-87.6300207","72","2249","58275"
"19180","40.124481","-87.6300207","26900","39.768403","-86.158068","72","5340","152351"
"41620","40.7607793","-111.8910474","39340","40.2338438","-111.6585337","70","2841","72353"
"39340","40.2338438","-111.6585337","24300","39.0638705","-108.5506486","70","13432","386478"
"24300","39.0638705","-108.5506486","19740","39.737567","-104.9847179","70","13825","390909"
